name,graduation_rate,median_salary,student_faculty_ratio,students_with_aid,out_of_pocket_cost,startclass_rank,acceptance_rate,sat,address_short,tution,num_students,college_id,slug
Florida Agricultural and Mechanical University,41%,"$35,400 USD",16:1,96%,"$11,112 USD",,51.4%,1410,"Tallahassee, Florida",1410,"9,928",841,Florida-Agricultural-and-Mechanical-University
School of Visual Arts,65%,"$39,800 USD",9:1,58%,"$41,261 USD",,75.3%,1590,"New York, New York",1590,"4,408",3004,School-of-Visual-Arts
Muskingum University,48%,"$38,100 USD",14:1,99%,"$19,005 USD",,73.9%,1365,"New Concord, Ohio",1365,"2,427",3325,Muskingum-University
Concordia University-Saint Paul,46%,"$48,200 USD",16:1,92%,"$19,082 USD",,55.4%,1500,"Saint Paul, Minnesota",1500,"4,380",2152,Concordia-University-Saint-Paul
Kennesaw State University,42%,"$41,300 USD",21:1,90%,"$16,232 USD",,53.4%,1620,"Kennesaw, Georgia",1620,,1037,Kennesaw-State-University
Brigham Young University-Idaho,54%,"$38,800 USD",25:1,62%,"$8,624 USD",,99.6%,1522,"Rexburg, Idaho",1522,"43,803",1118,Brigham-Young-University-Idaho
Midland University,49%,"$40,500 USD",15:1,100%,"$22,898 USD",,60.6%,1337,"Fremont, Nebraska",1337,"1,646",8840,Midland-University
Sonoma State University,54%,"$44,400 USD",25:1,74%,"$15,585 USD",,76.6%,1485,"Rohnert Park, California",1485,"9,408",603,Sonoma-State-University
Ferris State University,49%,"$41,500 USD",16:1,96%,"$12,813 USD",,78.2%,1455,"Big Rapids, Michigan",1455,"14,715",2053,Ferris-State-University
Sterling College,42%,"$30,000 USD",12:1,100%,"$17,909 USD",,41.4%,1387,"Sterling, Kansas",1387,704,1576,Sterling-College
University of Mount Olive,37%,"$38,100 USD",14:1,100%,"$14,654 USD",,50.5%,1361,"Mount Olive, North Carolina",1361,"3,371",3099,University-of-Mount-Olive
Huntingdon College,43%,"$36,500 USD",14:1,100%,"$20,294 USD",,57.7%,1506,"Montgomery, Alabama",1506,"1,166",26,Huntingdon-College
McPherson College,49%,"$37,100 USD",13:1,100%,"$20,345 USD",,72.7%,1522,"Mcpherson, Kansas",1522,681,1560,McPherson-College
Southeast Missouri State University,49%,"$35,900 USD",21:1,94%,"$11,566 USD",,84.3%,1566,"Cape Girardeau, Missouri",1566,"11,987",2410,Southeast-Missouri-State-University
Rivier University,59%,"$41,700 USD",18:1,100%,"$26,633 USD",,57.3%,1440,"Nashua, New Hampshire",1440,"2,599",2542,Rivier-University
Central Christian College of the Bible,38%,"$28,400 USD",14:1,100%,"$11,879 USD",,34.9%,1443,"Moberly, Missouri",1443,271,2298,Central-Christian-College-of-the-Bible
Embry-Riddle Aeronautical University-Daytona Beach,56%,"$61,500 USD",15:1,92%,"$31,517 USD",,69.0%,1625,"Daytona Beach, Florida",1625,"5,806",840,Embry-Riddle-Aeronautical-University-Daytona-Beach
Milwaukee Institute of Art & Design,63%,"$30,700 USD",10:1,100%,"$24,742 USD",,62.0%,,"Milwaukee, Wisconsin",,627,4614,Milwaukee-Institute-of-Art-And-Design
University of the Ozarks,48%,"$36,600 USD",13:1,98%,"$15,181 USD",,96.8%,1415,"Clarksville, Arkansas",1415,651,193,University-of-the-Ozarks
Briar Cliff University,45%,"$38,100 USD",13:1,99%,"$18,138 USD",,,1477,"Sioux City, Iowa",1477,,1428,Briar-Cliff-University
California State University-Los Angeles,36%,"$43,400 USD",28:1,87%,"$3,160 USD",,68.1%,1327,"Los Angeles, California",1327,"27,680",267,California-State-University-Los-Angeles
Washington Adventist University,36%,"$44,500 USD",7:1,99%,"$16,699 USD",,33.1%,1235,"Takoma Park, Maryland",1235,"1,044",1818,Washington-Adventist-University
University of Nebraska at Kearney,53%,"$38,200 USD",14:1,93%,"$14,907 USD",,85.4%,1447,"Kearney, Nebraska",1447,"6,747",2468,University-of-Nebraska-at-Kearney
St Louis College of Pharmacy,,"$115,800 USD",9:1,100%,"$29,136 USD",,68.1%,1714,"Saint Louis, Missouri",1714,"1,389",8969,St-Louis-College-of-Pharmacy
Daniel Webster College,46%,"$50,500 USD",16:1,98%,"$19,314 USD",,62.0%,1430,"Nashua, New Hampshire",1430,741,2513,Daniel-Webster-College
The University of Texas at Tyler,44%,"$42,200 USD",17:1,81%,"$14,377 USD",,64.5%,1570,"Tyler, Texas",1570,"8,785",4257,The-University-of-Texas-at-Tyler
Oregon Institute of Technology,43%,"$52,000 USD",19:1,91%,"$15,544 USD",,57.0%,1535,"Klamath Falls, Oregon",1535,"4,777",3524,Oregon-Institute-of-Technology
Old Dominion University,51%,"$42,500 USD",19:1,86%,"$15,236 USD",,83.1%,1545,"Norfolk, Virginia",1545,"24,672",4402,Old-Dominion-University
Stevens-Henager College-Murray,63%,"$28,500 USD",27:1,95%,"$26,456 USD",,,,"Murray, Utah",,,6067,Stevens-Henager-College-Murray
Otis College of Art and Design,57%,"$46,800 USD",6:1,84%,"$38,141 USD",,90.4%,1575,"Los Angeles, California",1575,"1,160",514,Otis-College-of-Art-and-Design
Tarleton State University,43%,"$40,600 USD",19:1,87%,"$11,758 USD",,49.7%,1400,"Stephenville, Texas",1400,"12,330",4240,Tarleton-State-University
Sierra Nevada College,55%,"$43,700 USD",12:1,98%,"$27,681 USD",,65.7%,1477,"Incline Village, Nevada",1477,"1,044",2506,Sierra-Nevada-College
Lincoln Memorial University,48%,"$36,800 USD",13:1,100%,"$15,791 USD",,74.4%,1515,"Harrogate, Tennessee",1515,"3,983",4006,Lincoln-Memorial-University
Pratt Institute-Main,62%,"$40,900 USD",8:1,80%,"$40,133 USD",,57.4%,1589,"Brooklyn, New York",1589,"4,784",2900,Pratt-Institute-Main
Trine University,51%,"$40,500 USD",13:1,99%,"$25,132 USD",,77.7%,1601,"Angola, Indiana",1601,"3,395",1421,Trine-University
Walla Walla University,44%,"$45,500 USD",13:1,98%,"$24,104 USD",,56.4%,1555,"College Place, Washington",1555,"1,840",4520,Walla-Walla-University
East Central University,34%,"$34,500 USD",18:1,95%,"$6,590 USD",,46.0%,1455,"Ada, Oklahoma",1455,"4,444",3437,East-Central-University
College of Saint Mary,42%,"$36,800 USD",8:1,100%,"$16,588 USD",,61.5%,,"Omaha, Nebraska",,"1,001",2485,College-of-Saint-Mary
Montreat College,39%,"$38,800 USD",18:1,100%,"$18,721 USD",,54.4%,1432,"Montreat, North Carolina",1432,"1,008",3098,Montreat-College
Lindenwood University,45%,"$39,700 USD",13:1,98%,"$21,906 USD",,55.4%,1445,"Saint Charles, Missouri",1445,"11,620",2341,Lindenwood-University
Bob Jones University,61%,,12:1,99%,"$13,364 USD",,82.0%,1542,"Greenville, South Carolina",1542,"3,005",3874,Bob-Jones-University
Heidelberg University,51%,"$36,200 USD",12:1,100%,"$20,685 USD",,78.9%,1582,"Tiffin, Ohio",1582,"1,197",3274,Heidelberg-University
Emory & Henry College,48%,"$38,600 USD",11:1,100%,"$21,299 USD",,76.4%,1435,"Emory, Virginia",1435,"1,117",4371,Emory-And-Henry-College
Roger Williams University,63%,"$47,400 USD",14:1,96%,"$35,755 USD",,78.5%,1646,"Bristol, Rhode Island",1646,"4,801",3862,Roger-Williams-University
San Francisco State University,45%,"$47,200 USD",25:1,78%,"$12,941 USD",,67.9%,1462,"San Francisco, California",1462,"30,256",566,San-Francisco-State-University
SUNY College at Old Westbury,36%,"$43,200 USD",18:1,84%,"$10,753 USD",,50.1%,1465,"Old Westbury, New York",1465,"4,353",2976,SUNY-College-at-Old-Westbury
Emmanuel College-Boston,58%,"$45,500 USD",13:1,99%,"$31,438 USD",,78.4%,1640,"Boston, Massachusetts",1640,"2,201",1915,Emmanuel-College-Boston
Mount Mary University,41%,"$38,800 USD",10:1,100%,"$16,741 USD",,52.6%,1202,"Milwaukee, Wisconsin",1202,"1,313",4617,Mount-Mary-University
Guilford College,57%,"$37,500 USD",14:1,100%,"$26,577 USD",,62.9%,1580,"Greensboro, North Carolina",1580,"1,917",3067,Guilford-College
University of Nebraska at Omaha,42%,"$41,700 USD",16:1,88%,"$11,175 USD",,75.9%,1564,"Omaha, Nebraska",1564,"15,526",2476,University-of-Nebraska-at-Omaha
Cumberland University,37%,"$38,200 USD",16:1,99%,"$17,118 USD",,49.1%,1380,"Lebanon, Tennessee",1380,"1,550",3978,Cumberland-University
Madonna University,40%,"$37,000 USD",10:1,95%,"$13,710 USD",,59.9%,,"Livonia, Michigan",,"3,704",2082,Madonna-University
The University of Texas at Arlington,40%,"$45,900 USD",25:1,85%,"$11,742 USD",,66.4%,1520,"Arlington, Texas",1520,"41,988",4253,The-University-of-Texas-at-Arlington
Northwood University-Texas,30%,"$43,200 USD",6:1,100%,"$32,666 USD",,,1380,"Cedar Hill, Texas",1380,,4195,Northwood-University-Texas
Stephen F Austin State University,43%,"$39,100 USD",19:1,84%,"$14,333 USD",,61.6%,1492,"Nacogdoches, Texas",1492,"12,606",4234,Stephen-F-Austin-State-University
Southwestern College-Winfield,53%,"$45,800 USD",8:1,91%,"$23,671 USD",,91.2%,1455,"Winfield, Kansas",1455,"1,471",1575,Southwestern-College-Winfield
Midwestern State University,44%,"$38,900 USD",18:1,93%,"$8,888 USD",,76.0%,1460,"Wichita Falls, Texas",1460,"6,043",4182,Midwestern-State-University
Benedictine University,52%,"$51,000 USD",12:1,97%,"$20,931 USD",,,,"Lisle, Illinois",,,1193,Benedictine-University
Lesley University,46%,"$35,100 USD",10:1,98%,"$30,940 USD",,67.1%,1605,"Cambridge, Massachusetts",1605,"5,067",1941,Lesley-University
Radford University,59%,"$42,200 USD",17:1,77%,"$13,903 USD",,83.1%,1450,"Radford, Virginia",1450,"9,743",4409,Radford-University
Texas Woman's University,41%,"$44,600 USD",18:1,92%,"$8,995 USD",,85.9%,1390,"Denton, Texas",1390,"15,286",4272,Texas-Woman-s-University
Rocky Mountain College,40%,"$38,900 USD",11:1,98%,"$18,277 USD",,69.9%,1489,"Billings, Montana",1489,"1,035",2449,Rocky-Mountain-College
Friends University,32%,"$41,500 USD",11:1,100%,"$18,662 USD",,58.5%,1665,"Wichita, Kansas",1665,"1,929",1535,Friends-University
University of Missouri-St Louis,46%,"$40,000 USD",17:1,93%,"$8,158 USD",,75.9%,,"Saint Louis, Missouri",,"16,738",2367,University-of-Missouri-St-Louis
University of South Carolina-Aiken,42%,"$35,800 USD",15:1,92%,"$13,318 USD",,57.2%,1470,"Aiken, South Carolina",1470,"3,448",3911,University-of-South-Carolina-Aiken
The Boston Conservatory,67%,"$27,700 USD",6:1,84%,"$45,272 USD",,45.8%,1695,"Boston, Massachusetts",1695,798,1894,The-Boston-Conservatory
Beacon College,83%,,11:1,88%,"$38,054 USD",,56.6%,,"Leesburg, Florida",,274,5301,Beacon-College
Hampshire College,66%,"$33,900 USD",10:1,94%,"$35,079 USD",,70.0%,1865,"Amherst, Massachusetts",1865,"1,410",1928,Hampshire-College
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,43%,,7:1,67%,"$9,241 USD",,40.7%,,"Far Rockaway, New York",,34,8841,Yeshiva-of-Far-Rockaway-Derech-Ayson-Rabbinical-Seminary
Southern Virginia University,33%,"$31,300 USD",16:1,99%,"$21,901 USD",,38.3%,1525,"Buena Vista, Virginia",1525,732,4422,Southern-Virginia-University
Manhattan School of Music,72%,"$19,300 USD",18:1,72%,"$34,871 USD",,46.1%,,"New York, New York",,998,2836,Manhattan-School-of-Music
Toccoa Falls College,46%,"$24,900 USD",13:1,100%,"$18,604 USD",,45.5%,1462,"Toccoa Falls, Georgia",1462,937,1073,Toccoa-Falls-College
University of Science and Arts of Oklahoma,39%,"$32,000 USD",12:1,99%,"$7,340 USD",,66.0%,1368,"Chickasha, Oklahoma",1368,873,3472,University-of-Science-and-Arts-of-Oklahoma
Wheelock College,54%,"$37,300 USD",10:1,100%,"$28,513 USD",,95.4%,1404,"Boston, Massachusetts",1404,"1,169",2013,Wheelock-College
Louisiana College,43%,"$39,100 USD",11:1,94%,"$14,002 USD",,69.4%,1365,"Pineville, Louisiana",1365,"1,092",1710,Louisiana-College
Indiana University-Purdue University-Indianapolis,42%,"$40,200 USD",19:1,85%,"$10,740 USD",,69.7%,1490,"Indianapolis, Indiana",1490,"30,105",1361,Indiana-University-Purdue-University-Indianapolis
Felician University,46%,"$40,300 USD",13:1,100%,"$16,055 USD",,78.8%,1320,"Lodi, New Jersey",1320,"1,957",2581,Felician-University
Point University,48%,"$29,600 USD",18:1,94%,"$13,613 USD",,49.1%,1365,"West Point, Georgia",1365,"1,582",986,Point-University
California State University-San Bernardino,41%,"$44,600 USD",30:1,87%,"$6,984 USD",,64.6%,1342,"San Bernardino, California",1342,"20,024",259,California-State-University-San-Bernardino
Cleveland Institute of Music,57%,"$38,200 USD",7:1,100%,"$37,259 USD",,46.8%,,"Cleveland, Ohio",,432,3240,Cleveland-Institute-of-Music
Middle Tennessee State University,46%,"$35,900 USD",18:1,97%,"$11,000 USD",,72.6%,1627,"Murfreesboro, Tennessee",1627,"22,511",4019,Middle-Tennessee-State-University
Bennington College,67%,"$24,600 USD",10:1,97%,"$29,030 USD",,63.1%,1860,"Bennington, Vermont",1860,801,4325,Bennington-College
Coastal Carolina University,46%,"$36,300 USD",18:1,93%,"$14,654 USD",,59.7%,1492,"Conway, South Carolina",1492,"10,263",3918,Coastal-Carolina-University
Frostburg State University,47%,"$43,500 USD",16:1,88%,"$13,019 USD",,63.5%,1420,"Frostburg, Maryland",1420,"5,756",1823,Frostburg-State-University
Fashion Institute of Design & Merchandising-Los Angeles,80%,"$35,400 USD",20:1,76%,"$39,602 USD",,49.3%,,"Los Angeles, California",,"2,814",357,Fashion-Institute-of-Design-And-Merchandising-Los-Angeles
St Andrews University,46%,"$34,800 USD",14:1,99%,"$24,652 USD",,57.3%,1365,"Laurinburg, North Carolina",1365,645,3134,St-Andrews-University
Rockford University,39%,"$39,300 USD",10:1,100%,"$21,294 USD",,53.8%,1445,"Rockford, Illinois",1445,"1,274",1275,Rockford-University
Johnson & Wales University-Denver,52%,"$35,300 USD",16:1,100%,"$25,412 USD",,81.2%,,"Denver, Colorado",,"1,388",6111,Johnson-And-Wales-University-Denver
Florida Atlantic University,41%,"$40,700 USD",23:1,77%,"$12,177 USD",,67.7%,1555,"Boca Raton, Florida",1555,"30,380",842,Florida-Atlantic-University
Kent State University at Kent,52%,"$36,000 USD",21:1,93%,"$18,531 USD",,84.8%,1565,"Kent, Ohio",1565,"30,067",3293,Kent-State-University-at-Kent
Colby-Sawyer College,53%,"$38,800 USD",12:1,100%,"$25,462 USD",,90.2%,1477,"New London, New Hampshire",1477,"1,228",2511,Colby-Sawyer-College
Fairleigh Dickinson University-Metropolitan Campus,47%,"$47,500 USD",13:1,95%,"$16,929 USD",,79.5%,1500,"Teaneck, New Jersey",1500,"8,652",2580,Fairleigh-Dickinson-University-Metropolitan-Campus
Pennsylvania College of Art and Design,54%,"$26,800 USD",11:1,100%,"$24,209 USD",,40.3%,,"Lancaster, Pennsylvania",,223,3757,Pennsylvania-College-of-Art-and-Design
Crown College,51%,"$31,000 USD",18:1,99%,"$22,426 USD",,52.9%,1428,"Saint Bonifacius, Minnesota",1428,"1,153",2220,Crown-College
Mount Marty College,52%,"$32,300 USD",11:1,100%,"$20,307 USD",,72.5%,,"Yankton, South Dakota",,"1,190",3943,Mount-Marty-College
University of Mary Hardin-Baylor,47%,"$41,200 USD",19:1,96%,"$24,140 USD",,80.4%,1510,"Belton, Texas",1510,"3,898",4175,University-of-Mary-Hardin-Baylor
Southern Illinois University-Edwardsville,50%,"$39,800 USD",19:1,93%,"$15,859 USD",,88.2%,1541,"Edwardsville, Illinois",1541,"14,265",1300,Southern-Illinois-University-Edwardsville
Alaska Pacific University,40%,"$47,000 USD",8:1,100%,"$19,536 USD",,38.9%,1427,"Anchorage, Alaska",1427,516,67,Alaska-Pacific-University
Shippensburg University of Pennsylvania,55%,"$44,600 USD",20:1,87%,"$17,605 USD",,89.1%,1445,"Shippensburg, Pennsylvania",1445,"7,048",3803,Shippensburg-University-of-Pennsylvania
Campbell University,49%,"$42,600 USD",16:1,100%,"$27,309 USD",,73.5%,1485,"Buies Creek, North Carolina",1485,"6,484",3039,Campbell-University
Mansfield University of Pennsylvania,51%,"$37,800 USD",15:1,95%,"$16,650 USD",,88.5%,1410,"Mansfield, Pennsylvania",1410,"2,352",3699,Mansfield-University-of-Pennsylvania
Oakland University,43%,"$43,000 USD",21:1,85%,"$11,145 USD",,80.4%,1560,"Rochester Hills, Michigan",1560,"20,261",2106,Oakland-University
American International College,45%,"$38,900 USD",14:1,99%,"$20,970 USD",,63.2%,1310,"Springfield, Massachusetts",1310,"3,539",1873,American-International-College
St. John's College,54%,"$27,600 USD",8:1,97%,"$25,958 USD",,81.4%,,"Santa Fe, New Mexico",,390,4780,St-John-s-College
Embry-Riddle Aeronautical University-Prescott,59%,"$61,500 USD",17:1,94%,"$32,952 USD",,79.1%,1705,"Prescott, Arizona",1705,"2,265",102,Embry-Riddle-Aeronautical-University-Prescott
Northern Michigan University,48%,"$33,900 USD",21:1,97%,"$12,703 USD",,69.9%,1515,"Marquette, Michigan",1515,"8,303",2101,Northern-Michigan-University
Hannibal-LaGrange University,61%,"$33,400 USD",11:1,93%,"$18,367 USD",,58.7%,1492,"Hannibal, Missouri",1492,"1,167",2325,Hannibal-LaGrange-University
Minot State University,37%,"$37,200 USD",12:1,88%,"$10,756 USD",,56.8%,1421,"Minot, North Dakota",1421,"3,354",3169,Minot-State-University
Cairn University-Langhorne,68%,"$32,600 USD",13:1,100%,"$18,387 USD",,98.7%,1462,"Langhorne, Pennsylvania",1462,"1,043",3761,Cairn-University-Langhorne
University of Massachusetts-Boston,44%,"$46,000 USD",16:1,75%,"$10,980 USD",,69.1%,1582,"Boston, Massachusetts",1582,"17,030",1949,University-of-Massachusetts-Boston
Clearwater Christian College,40%,"$34,700 USD",12:1,100%,"$20,133 USD",,61.9%,1470,"Clearwater, Florida",1470,,833,Clearwater-Christian-College
