name,graduation_rate,median_salary,student_faculty_ratio,students_with_aid,out_of_pocket_cost,startclass_rank,acceptance_rate,sat,address_short,tution,num_students,college_id,slug
University of Mobile,49%,"$35,000 USD",13:1,100%,"$20,214 USD",,60.5%,1477,"Mobile, Alabama",1477,"1,566",40,University-of-Mobile
Cox College,64%,"$41,400 USD",9:1,100%,"$22,218 USD",,,1560,"Springfield, Missouri",1560,,2295,Cox-College
Winona State University,56%,"$42,200 USD",20:1,90%,"$16,524 USD",,62.5%,,"Winona, Minnesota",,"8,490",2236,Winona-State-University
University of Puerto Rico-Rio Piedras,47%,,18:1,71%,"$3,083 USD",,29.4%,1742,"San Juan, Puerto Rico",1742,"16,454",4740,University-of-Puerto-Rico-Rio-Piedras
Manchester University,48%,"$37,600 USD",15:1,100%,"$18,317 USD",,70.6%,1469,"North Manchester, Indiana",1469,"1,536",1392,Manchester-University
Thomas More College,57%,"$45,900 USD",16:1,100%,"$18,567 USD",,88.3%,1365,"Crestview Hills, Kentucky",1365,"1,909",1656,Thomas-More-College
Tennessee Technological University,51%,"$36,600 USD",19:1,97%,"$14,518 USD",,68.3%,1582,"Cookeville, Tennessee",1582,"10,900",4056,Tennessee-Technological-University
Loyola University New Orleans,55%,"$43,300 USD",12:1,99%,"$26,601 USD",,90.3%,1672,"New Orleans, Louisiana",1672,"4,087",1714,Loyola-University-New-Orleans
Merrimack College,60%,"$55,900 USD",13:1,99%,"$31,355 USD",,79.0%,1655,"North Andover, Massachusetts",1655,"3,620",1960,Merrimack-College
Cazenovia College,59%,"$32,100 USD",12:1,100%,"$17,479 USD",,81.5%,1455,"Cazenovia, New York",1455,"1,072",2728,Cazenovia-College
Vanguard University of Southern California,52%,"$37,700 USD",15:1,98%,"$23,125 USD",,68.3%,1455,"Costa Mesa, California",1455,"2,184",607,Vanguard-University-of-Southern-California
Culver-Stockton College,45%,"$35,800 USD",15:1,96%,"$19,188 USD",,55.9%,1417,"Canton, Missouri",1417,"1,066",2312,Culver-Stockton-College
Central Connecticut State University,52%,"$44,300 USD",15:1,83%,"$15,273 USD",,58.7%,1515,"New Britain, Connecticut",1515,"12,086",730,Central-Connecticut-State-University
University of Baltimore,38%,"$56,500 USD",15:1,96%,"$14,565 USD",,52.7%,1450,"Baltimore, Maryland",1450,"6,229",1811,University-of-Baltimore
Dominican University of California,53%,"$51,700 USD",9:1,99%,"$34,908 USD",,78.8%,1555,"San Rafael, California",1555,"1,863",343,Dominican-University-of-California
Moody Bible Institute,84%,,17:1,84%,"$18,575 USD",,68.3%,1620,"Chicago, Illinois",1620,"3,922",7964,Moody-Bible-Institute
Evangel University,51%,"$34,700 USD",14:1,100%,"$20,664 USD",,61.5%,1550,"Springfield, Missouri",1550,"1,958",2320,Evangel-University
Northern Illinois University,51%,"$43,800 USD",15:1,96%,"$19,205 USD",,50.4%,1455,"Dekalb, Illinois",1455,"20,130",1255,Northern-Illinois-University
Northwest University,43%,"$37,700 USD",10:1,96%,"$20,414 USD",,63.7%,1470,"Kirkland, Washington",1470,"1,236",4496,Northwest-University
Hope International University,44%,"$35,400 USD",14:1,96%,"$21,374 USD",,34.3%,1370,"Fullerton, California",1370,"1,302",516,Hope-International-University
Saint Joseph's College of Maine,55%,"$39,100 USD",12:1,95%,"$26,543 USD",,77.6%,1455,"Standish, Maine",1455,"2,581",1794,Saint-Joseph-s-College-of-Maine
University of Nevada-Reno,51%,"$45,000 USD",22:1,91%,"$15,491 USD",,78.5%,1595,"Reno, Nevada",1595,"20,898",2502,University-of-Nevada-Reno
Missouri State University-Springfield,53%,"$36,800 USD",21:1,89%,"$14,515 USD",,85.9%,1629,"Springfield, Missouri",1629,"22,273",2411,Missouri-State-University-Springfield
University of Colorado Denver/Anschutz Medical Campus,41%,"$57,400 USD",16:1,73%,"$12,568 USD",,67.4%,1642,"Denver, Colorado",1642,"23,671",659,University-of-Colorado-Denver-Anschutz-Medical-Campus
University of Massachusetts-Dartmouth,49%,"$45,900 USD",18:1,92%,"$15,489 USD",,76.3%,1515,"North Dartmouth, Massachusetts",1515,"8,916",2002,University-of-Massachusetts-Dartmouth
Trevecca Nazarene University,47%,"$39,200 USD",17:1,100%,"$17,156 USD",,72.5%,1515,"Nashville, Tennessee",1515,"2,640",4058,Trevecca-Nazarene-University
