College Name, Twitter Handle
UDubuque Alumni , UDSpartanNation
Patten University , PattenU
Jacksonville U , JacksonvilleU
EmmanuelNews , EmmanuelNews
Delaware Cty CommCol , DelawareCCC
WesternU , WesternUNews
NE Methodist College , NMComaha
Concordia Seminary , ConcordiaSem
Midwestern State , MidwesternState
Sitting Bull College , SittingBullColl
AIC , AIConcampus
PSU Wilkes-Barre , PennStateWB
BFIT , BFITinvolved
Rider University , RiderUniversity
CMN , cmn_live
VT Corps of Cadets , VTCorpsofCadets
Armstrong State , Armstrong_U
Dickinson State Univ , DickinsonU
Alabama Southern CC , ASCCNews
St Mary's College MD , StMarysMD
Faulkner University , FaulknerEdu
Catholic Theological Union , ChicagoCTU
NC State University , NCState
Quincy University , Quincy_U
clevelandunivkc , clevelandunivkc
Sullivan University , SullivanU
SW Christian Univ. , SCUinfo
NBCC , myNBCC
Santa Fe University , SantaFeUAD
SaintJoseph'sCollege , SaintJosephsME
Trinity Luth College , TrinityLuthColl
MTSO , MTSOedu
National Defense U , NDU_EDU
CCS , CCS_Detroit
Peninsula College , pencollege
NationalLaborCollege , NLCLaborCollege
Neumann University , NeumannUniv
JohnsonUniv , JohnsonUniv
SouthCentral College , SCCollege
Westmoreland , ConnectWCCC
NECO , NECO424
PittBradford , PittBradford
RBHSNews , RBHSNews
Western Piedmont CC , WPCC_Morganton
Southern Miss , SouthernMiss
Edison State College , EdisonState
NWIC , NWIndianCollege
National Hispanic U , NHUFamilia
Wilmington University , theWilmU
Touro College , WeAreTouro
Univ. of Findlay , ufindlay
Salt Lake CC , SaltLakeCC
William Paterson , wpunj_edu
NCU , NCUCommunity
UMRochester , UMRochester
Albertus Magnus , AlbertusSocial
MacMurray College , MacMurray1846
St.Gregory the Great , stgknights
Metropolitan State U , Choose_Metro
BMCC , BayMillsCollege
HarfordCC , HarfordCC
BrookdaleCC-Neptune , BrookdaleCCNept
Southern Wesleyan U , SWU_edu
Ohlone CommEd , OhloneCommEd
NTCC , NTCCgators
LSU Law Center , LSULawCenter
Renton Tech , RentonTech
UW-Stevens Point , UWStevensPoint
JTS , JTSVoice
Peru State College , PeruState
