College Name, Twitter Handle
Dean College , DeanCollege
Husson University , HussonU
Fresno State , Fresno_State
CTU , ctuniversity
MSM , MSMEDU
NMU , NorthernMichU
MCC Kansas City , MCCKansasCity
GA Piedmont Tech Col , GoGPTC
Blinn College , BlinnCollege
CalArts , CalArts
Lone Star College , LSCnews
HSBC , hobesoundbible
CCA , CACollegeofArts
South Mountain CC , smcccougar
Ruth A Myers Library , RAMyersLibrary
Wabash College , WabashCollege
Manhattanville , Mville_College
UNC Greensboro , UNCG
Thomas More College , ThomasMoreNH
CGCC , ColumbiaGorgeCC
SJC , SJC_Pumas
Walters State , WaltersState
NOVA WD (AN Updates) , NOVACEAnnandale
LB City College , LBCityCollege
Henderson CC , hendersoncc
SVA News , SVA_News
UIW , uiwcardinals
VCFA , VCFA
Thomas University , ThomasU1950
Texas State , txst
LaGrange  College , LaGrangeCollege
Brandman University , BrandmanU
Lyon College , LyonCollege
Frostburg State University , frostburgstate
Brooklyn College , BklynCollege411
Cal State East Bay , CalStateEastBay
SalemUTigers , SalemUTigers
McCormick Seminary , McCormickSem
JeffersonC&TCollege , JeffersonCTC
Mid-America Seminary , MABTS
Ilisagvik College , Ilisagvik
COD Newsroom , codnewsroom
PLU , PLUNEWS
Antioch Los Angeles , AntiochLA
Norwich University , norwichnews
Villanova University , VillanovaU
Fairleigh Dickinson University , FDUWhatsNew
Five Towns College , FiveTownsNY
Dona Ana CC , DonaAnaCC
NDNU , NDNU
William Woods Univ. , WilliamWoodsU
NazareneBibleCollege , NazBibleCollege
CTSFW , CTSFWedu
Lesley University , lesley_u
LIU Brentwood , LIUBrentwood
Thomas Edison State , tesu_edu
Mount Mary , MountMary
Gateway Tech College , gatewaytech
Jefferson College , JCHSRoanokeVA
UACC-Morrilton , UACCM
UNH Manchester , UNHManchester
DePaul Admission , DePaulAdmission
DMACC , DMACCNews
Hebrew Union College , HUCJIR
Parker University , ParkerUniv
Ursuline College , UrsulineCampus
Union College , UnionCollegeNY
TrinityBibleCollege , trinitybible
University of Southern Indiana , USIedu
HCC District , HCCDistrict
Bates Tech College , BatesTechnical
Kaplan University , Kaplan_Univ
Georgia College , GeorgiaCollege
Wartburg College , WartburgCollege
Sterling College , SterlingCLife
UniversityofArkansas , UArkansas
Fredonia , FredoniaU
Grace University , graceuniversity
UAPB News , uapbinfo
Mount Saint Vincent , MountStVincent
Shaw University , ShawUniversity
Augustana College , Augustana_IL
UMass , UMass
Univ. of Sioux Falls , USiouxFalls
Adelphi University , AdelphiU
Valley College , valleycollege
University of San Francisco , usfca
Medgar Evers College , NewsatMedgar
Hilbert College , HilbertCollege
LSU Alexandria , LSUAlexandria
CCBC , CCBCedu
Eureka College , EurekaCollege
Clear Creek , Clear_Creek
Lincoln Christian , LCU1944
Utica College , uticacollege
#SJUNOW , StJohnsNow
Western Int'l. Univ. , westedu
Delaware Tech Terry , dtccterry
USF - Fort Wayne , USFFW
NMMI , NMMI
TUSKEGEE UNIVERSITY , TuskegeeUniv
Rivier University , RivUniversity
PCA&D , pcad_edu
Cambridge College , CambridgeCollg
Salem State , SalemState
DCC | danville.edu , DCCPR
Trinity Christian College , TrinityTroll
Univ. of the Rockies , URockies
Ashford University , AshfordU
Phillips College , PCCUA
OUEasternCampus , OUEasternCampus
NJCommunityColleges , NJCommColleges
Paul Quinn College , PaulQuinnTigers
Nichols College , Nichols_College
Montserrat Gallery , montgallery
New College of FL , NewCollegeofFL
Clover Park Tech , CloverParkTech
Muskegon Community College , MuskegonCC
WAU News , WAUnews
Florida Tech , FloridaTech
VirginiaStateUniv , VSUTrojans
Mercy College Iowa , MercyCollege_IA
The Master's Seminary , MastersSeminary
Kennesaw State , kennesawstate
Washington College , washcoll
Manhattan S of Music , MSMnyc
Clarke University , ClarkeU
Pellissippi State , ps
Salisbury University , SalisburyU
Union Seminary , UnionSeminary
Military Schools , militaryschools
KCU , Kcumb
U. of Holy Cross , UofHC
Barton College , bartoncollege
Rancho Santiago CCD , RSCCD
Newberry College , NewberryCollege
Garrett Hinshaw , cvccled
SCU Health Sciences , SCUHS
North Carolina A&T , ncatsuaggies
Rappahannock CC , rappahannockcc
VHCC , VHCC
ChurchDivinitySchool , CDSPTweet
Santa Fe College , SantaFeCollege
St. Edward's University , stedwardsu
Marymount California , MarymountCU
Wentworth News , WITNews
Redlands CC , redlandscougars
Madison College , MadisonCollege
Northern NM College , NNMC
Stony Brook U. , stonybrooku
Vernon College , VernonCollege
Southern U. at N.O. , SUNOKnights
St. Bonaventure U , StBonaventure
FarmingdaleState , FarmingdaleSC
Delaware State Univ , DelStateUniv
Dominican University , DominicanU
UHartfordNews , UHartfordNews
Post University , PostUniversity
Seminary Southwest , mySSW
Maricopa News , MaricopaNews
UVU , UVU
Schreiner University , SchreinerU
Wesleyan College , WesleyanCollege
KCAI , KCArtInstitute
Washburn University , WashburnUniv
TXWoman's University , txwomans
IWP , theIWP
MiddlesexCommCollege , middlesex_cc
Quinebaug Valley CC , QVCC
Methodist University , KingMonarch
Marygrove College , MGCollege
Eastern Nazarene , EasternNazarene
Clackamas College , ClackCollege
RISD , risd
Georgian Court , Georgiancourt
CSUSB News , CSUSBNews
K-State , KState
John Jay College , JohnJayCollege
WV Wesleyan , WVWesleyan
Longy , LongyMusic
UMaine Admissions , GoUMaine
StPetersburgCollege , spcnews
SJRState , SJRState
UWG , UnivWestGa
Garrett-ETS , GarrettSeminary
UW-Eau Claire , UWEauClaire
Sheridan College , sheridancollege
Prairie View A&M , PVAMU
UPR Río Piedras , uprrp
College...Ouachitas , coto4me
LCAD , lcad
USD , uofsandiego
Cañada College , CanadaCollege
Point Loma Naz Univ , PLNU
SNC Tahoe , snclaketahoe
United Seminary , unitedtheologic
Edison State CC , EdisonOhio
Los Medanos College , losmedanos
Coppin State U , CoppinStateUniv
Montclair State U , montclairstateu
SUNY Upstate Medical , UpstateNews
Rock Valley College , rvcgoldeneagles
Golden West College , gwchb
MountAloysiusCollege , mountaloysius
Eastfield College , EastfieldDCCCD
Mountain View College , MVConline
Cedar Valley College , CVCOnline
El Centro College , ECCOnline
LA Valley College , LAValleyCollege
Manhattan Christian , MCCAdmissions
UCumberlands , UCumberlands
Chandler-Gilbert CC , chandlergilbert
Huntington Univ , HuntingtonU
PSU Brandywine , PSUBrandywine
Denver Seminary , denverseminary
Valencia Foundation , valenciagiving
Skidmore College , SkidmoreCollege
Winona State U , winonastateu
Loyola University MD , LoyolaMaryland
RMCAD® , RMCAD
Life Pacific College , LifePacific
Weber State Univ. , WeberStateU
Lees-McRae College , LeesMcRae
Northeastern U. , Northeastern
Judson University , JudsonU
Delta College , DeltaCollege
UMaine Farmington , UMFinthenews
Foothill College , Foothillnews
Western Oregon Univ. , WOUnews
UWest , u_west
Spring Arbor Univ. , springarboru
Waldorf University , Waldorf_U
Tennessee State Univ , TSUedu
OSU-CHS , OSUCHS
Hinds Comm. College , HindsCC
Valencia College , valenciacollege
Campbellsville Uni. , CampbellsvilleU
Montgomery CC , MontgomeryCC
GMC Columbus , GMCColumbus
National ParkCollege , NationalParkC
IU Kokomo , IUKokomo
North Orange CCCD , nocccd
Milligan College , MilliganCollege
Keller Graduate , KellerGraduate
School of the Arts , UNCSchoolofArts
SCSU (Southern) , SCSU
Maryville College , MaryvilleC
Northwest Nazarene , nwnazarene
UBridgeport , UBridgeport
Agnes Scott College , agnesscott
Young Harris College , YH_College
Weatherford College , WfordCollege
Mercer University , MercerYou
U.S. Sports Academy , USSportsAcademy
WNCC , WNCC
Virginia Western , VirginiaWestern
Cleveland State , clevelandstate
TXChiroCollege , TXChiroCollege
UofMemphis , uofmemphis
San Diego Christian , SDChristian
Andrews University , AndrewsUniv
Wilson Comm College , wccwilsonnc
Lewis University , LewisUniversity
COA , COA_Dolphins
LowerColumbiaCollege , LowerCC
The Chicago School , GradPsychology
Ripon College , riponcollege
NTC , NTCNews
FLORIDA , UF
LSU , lsu
MGCCC Bulldogs , MGCCCBulldogs
Army War College , ArmyWarCollege
Gardner-Webb , TheGardnerWebb
TAMU-Corpus Christi , IslandCampus
Wilmington College (OH) , WilmingtonColl
DeVry University , devryuniv
Boston Conservatory at Berklee , BosConservatory
Occidental College , Occidental
Western Tech College , WesternTC
CBU , calbaptist
Mount Vernon Nazarene University , MVNUNews
Wellesley College , Wellesley
Miami University , miamiuniversity
McMurry University , mcmuniv
Kean University , KeanUniversity
Owens CC , OwensCC
OCAC |  PDX , OCAC_edu
Prensa RUM , PrensaRUM
Illinois State , IllinoisStateU
Queensborough | CUNY , QCC_CUNY
BHU , BeulahHeights
Bethune-Cookman , bethunecookman
NW Ark Comm College , NWACC
University of St. Francis , UofStFrancis
Maryland Institute College of Art , mica
Harrington College , hcdinfo
DACC , DanvilleAreaCC
Villa Maria College , VillaMariaClg
Santa Monica College , SMC_edu
Warner Pacific , WarnerPacific
St. Kate's , StKate
South Dakota State , SDState
Dakota College , DakotaCollege
York Tech , yorktech
MSU , michiganstateu
MO Valley College , missourivalley
Palo Alto College , PACPR
Mars Hill University , MarsHillU
SMCC , SMCCMaine
Western Michigan U , WesternMichU
Penn State Greater Allegheny , PennStateGA
PCC , piedmontcc
Dordt College , dordtcollege
University of Oregon , uoregon
Academy of Art Univ. , academy_of_art
Louisville Seminary , lptsNOW
Normandale CECT , NormandaleCECT
Inver Hills CC , InverHillsCC
Marymount Manhattan , NYCMarymount
UNLV , unlv
Blackhawk Tech , blackhawk_tech
Seattle Pacific Univ , SeattlePacific
WV State University , WVStateU
Fayetteville State , uncfsu
Truett McConnell , TruettMcConnell
OU Zanesville , ouzanesville
Logan University , LoganUniversity
USF Sarasota-Manatee , USFSM
NWF State College , nwfstatecollege
South Piedmont CC , SouthPiedmontCC
Southwestern Online , SCHigherEd
Bloomfield College , bloomfieldedu
GCC , gccaz
Zaytuna College , zaytunacollege
Woodbury University , WoodburyU
HCC Central , HCCcentral
LaGuardia CC , LaGuardiaCC
Palm Beach State , PBStateCollege
Harvard University , Harvard
FIU , FIU
Illinois Wesleyan , IL_Wesleyan
BCCC , beaufortccc
University of Louisville , uofl
Northwest University , northwestu
UMBC , UMBC
Xavier Univ. of LA , XULA1925
Lincoln Land College , LincolnLand
USF , USouthFlorida
UW System , UWSystem
Detroit Mercy , UDMDetroit
Columbia Seminary , CTSeminary
PennHighlands , PennHighlands
Northern State U. , NorthernStateU
Alvin College , accnews
SB City College , SantaBarbaraCC
La Sierra University , lasierranews
MCPHS - Worcester , MCPHSWorcester
Columbia State , columbiastate
Lewis and Clark , lewisandclarkcc
Wade College , WadeCollege
Frontier University , FrontierNursing
Antioch New England , AntiochNewEng
Univ of the South , univofthesouth
ASU Polytechnic , asupoly
Wiley College , WileyCollege
Univ. of Evansville , UEvansville
Rockhurst University , RockhurstU
Spring Hill College , sprhill
Centenary University , Centenary_NJ
New England College , NewEngCollege
#MSMUnstoppable , MSMU_LA
Mayland CC , maylandcc
Clarks Summit U , ClarksSummitU
Union Inst. & Univ. , myunionedu
Columbia College , ColumbiaColg
Florida Southern , FLSouthern
Gateway Seminary , GatewaySeminary
Univ of Indianapolis , uindy
Diablo Valley Coll. , DVC_updates
Lincoln University , LUBlueTigers
Master's University , mastersuniv
Durham Tech , durhamtech
Misericordia U , MisericordiaU
Benedictine Univ. , BenU1887
UT Dallas , UT_Dallas
Campbell University , campbelledu
Crowder College , CrowderCollege
Wesley Seminary , WesleyTheoSem
Northwest State , NorthwestState
TTUHSC , TTUHSC
LakeSuperiorCollege , LSC_Duluth
Stanislaus State , stan_state
Lee College , leecollege
Fullerton College , FullColl
Bethany Lutheran , BethanyLutheran
Georgetown McDonough , msbgu
Georgia Gwinnett , GeorgiaGwinnett
Central AZ College , CACadmissions
SUSLA , SUShreveport
Drew University , DrewUniversity
Forsyth Tech , ForsythTechCC
Central Baptist , CentBaptCollege
Temple University , TempleUniv
SFCC , SFCCNM
Roberts Wesleyan , RobertsWesleyan
Jackson State U. , JacksonStateU
CCCC , iamcccc
Hope International , HIUnow
Barnard College , BarnardCollege
OBU , Ouachita
Rush University Medical Center , RushMedical
CollegeOfTheMainland , COMDucks
Florida College , floridacollege
Ball State , BallState
Baptist Bible College Springfield, MO. , BBCandTS
PFIC News , pficnews
University of Mary , umary
ClevelandCommCollege , ClevelandCC
UniversitySystemofGA , BORUSG
U of North Dakota , UofNorthDakota
Judson College , JudsonCollege
Houghton College , HoughtonCollege
LSCS Recruiting , LSCSRecruiting
Isothermal Comm Coll , isothermal_edu
Mass. School of Law , MSLandover
Dominican University , DominicanCANews
Lane CC , LaneTitans
Ohio State Lima , OhioStateLima
Nashville State CC , NashvilleState
Saint Mary , USMSpireWire
Iona College , ionacollege
NYCC , NYChiroCollege
Glendale College CA , GCCPIO
KeiserUniversity , KeiserU
Teachers College, CU , TeachersCollege
University of Northern Iowa , northerniowa
Bemidji State Univ. , BemidjiState
Coastline College , CoastlineInOC
Chaffey College , chaffeycollege
Catawba Valley CC , CatawbaValleyCC
Wake Forest University , WakeForest
Lynn University , LynnUniversity
CommunityCollegeofVT , CCV_VT
Reading Area CC , RACC_edu
Kendall College , KendallCollege
NHW , nhweber
Franciscan U , FranciscanU
UCB , ucbpr
Northcentral U , NorthcentralU
Park University , ParkUniversity
Univ. of Mount Union , mountunion
Claremont McKenna , CMCnews
Loma Linda U. Health , LLUHealth
Westminster College , WestminsterMO
Saint Joseph's , saintjosephs
MCC , mccneb
University of Kentucky , universityofky
USTHouston , stthomashouston
NEC , necmusic
MassArt , MassArt
Iowa Lakes , IowaLakes
Wingate University , WingateUniv
Texas Southern University , TexasSouthern
Doane University , DoaneUniversity
Rhodes College , RhodesCollege
SUNY Cortland , suny_cortland
RCC , SUNYRockland
OUHSC , OUHSC
South College , SouthCollege
El Camino College , elcaminocollege
Northwestern , NorthwesternU
SouthwesternCC , southwesterncc
Connecticut College , ConnCollege
St. Charles CC , SCC_StCharlesCC
Trinity College , trinitycollege
Del Mar College , DelMarCollege
AlamanceCC , AlamanceCC
Midwestern Seminary , MBTS
Grindle Honors , HonorsInstitute
MACU , MACUniversity
St. Clair County CC , followSC4
Carleton College , CarletonCollege
Auburn Montgomery , aumontgomery
Cranbrook Art , cranbrookart
New Saint Andrews , NewSaintAndrews
Anoka-Ramsey College , AnokaRamseyCC
Naropa University , NaropaU
American University , AmericanU
North Central U , NorthCentral_MN
Randolph Macon , RandolphMacon
Messiah College , messiahcollege
Keuka College , KeukaCollege
Roosevelt University , RooseveltU
OralRobertsU , OralRobertsU
SUNY Plattsburgh , SUNYPlattsburgh
University of Kansas , KUnews
Southeastern_CC , Southeastern_CC
LSSU , LifeatLSSU
Cooper Union , cooperunion
Simon's Rock , SimonsRock
Bethany College KS , bethanynews
Georgia Bulldogs , UGAAthletics
Saint Peter's Univ. , saintpetersuniv
Clearwater Christian , clearwatercc
SEBTS , SEBTS
Rogue CC , RogueCC
UW-Parkside , uwparkside
Williams Baptist , williamsbaptist
Louisiana Tech University , LATech
Pratt Institute , PrattInstitute
Rose State College , RoseState
Uni of New England , unetweets
Rio Salado College , RioSaladoOnline
University of Tampa , UofTampa
Adler University , AdlerUniversity
UT Martin , utmartin
Sioux Falls Seminary , SFSeminary
UC Berkeley News , UCBerkeleyNews
Mt. Hood CC , MtHoodCommunity
OBU , obunews
SUNY-ESF , sunyesf
AU Santa Barbara , antiochsb
U of Jamestown , JimmieKnight
LIU Post , LIUPost
Green River College , GreenRiverCC
Brazosport College , BCgators
HighPointUniversity , HighPointU
IU Southeast , IUSoutheast
Camden Cty. College , camdencc
SaintMaryoftheWoods , smwc
Gadsden State , gadsdenstate
NUNM , NUNM_EDU
UNTHSC , UNTHSC
Southeastern , seuniversity
Univ. Hawaii at Hilo , UHHilo
Brenau University , BrenauU
Presbyterian College , presbycollege
Mary Hardin-Baylor , UMHB
FloridaA&MUniversity , FAMU_1887
IowaWesleyan , IowaWesleyan
Idaho State U. , IdahoStateU
Western State Colo U , WesternColoU
QuinnipiacUniversity , QuinnipiacU
Mount St. Mary's U , MSMU
The Wright Institute , wrightinstitute
Montgomery College , montgomerycoll
ATSU , ATSU_news
St Thomas Univ Miami , StThomasUniv
UVM , uvmvermont
Univ. of Delaware , UDelaware
W&J College , wjcollege
NC Wesleyan College , ncwesleyan
U of Miss. Med. Ctr. , UMMCnews
Olivet Nazarene , olivetnazarene
Asnuntuck , AsnuntuckCC
Wichita State , WichitaState
Trinity Washington U , TrinityDC
College at Brockport , Brockport
MidAmerica Nazarene , followMNU
WVU Parkersburg , WVUParkersburg
Appalachian State , appstate
JolietJuniorCollege , JolietJrCollege
FIDM San Diego , FIDMSanDiego
Toccoa Falls College , ToccoaFalls
CSM Headline News , CSMHeadlines
SAGU , sagu
SMU , SMU
Warren Wilson , WWCasheville
Clark University , ClarkUniversity
CIIS , CIIS_SF
PacificUnionCollege , PUCNow
New York University , nyuniversity
TCNJ , TCNJ
NIU , NIUlive
Wis Tech Colleges , WisTechColleges
Albany Tech , AlbanyTech
Queens Univ of CLT , QueensUniv
Shoreline CC , shorelinecc
UB News Source , UBNewsSource
Northeastern State , NSURiverHawks
Pittsburgh Seminary , pghseminary
PCC , PortlandCC
Frederick CC , FrederickCC
Univ. of Puget Sound , univpugetsound
University of South Carolina , UofSC
CO School of Mines , coschoolofmines
Delaware Tech , delawaretech
Spelman College , SpelmanCollege
Tulane University , TulaneNews
GW University , GWtweets
SJRState Chapter,AFC , AFC_SJRState
Sinclair College , SinclairCC
Southwestern OR CC , swocc
Donnelly College , DonnellyCollege
UW Tacoma , uwtacoma
MCAD , MCAD
Texas Lutheran Univ , txlutheran
St. Cloud State , stcloudstate
Bowie State Uni. , BowieState
Huntingdon College , HuntingdonColl
MATC (Milwaukee) , DiscoverMATC
Coe College , CoeCollege
Macalester College , Macalester
Highland (HCC) , highlandcc
College of Saint Mary , CSM_Omaha
CWI , cwidaho
GreenvilleUniversity , GreenvilleUniv
WHOI Media Relations , WHOImedia
Ramapo College , RamapoCollegeNJ
Howard University , HowardU
U. of Washington , UW
Colorado State Univ , ColoradoStateU
SE Missouri State , SEMissouriState
Strayer University , StrayerU
U.S. Army CGSC , USACGSC
Caldwell University , CaldwellUniv
Seminole State , SeminoleState
D'Youville College , DYouville
Creighton University , Creighton
SIUC , SIUC
Parkland College , parklandcollege
WKU News , wkunews
Wesleyan University , wesleyan_u
Mass Maritime , MMAAdmissions
Shepherd University , ShepherdU
Rockford University , RockfordUniv
Wagner College , WagnerCollege
SouthwesternAU , SouthwesternAU
Central Methodist U , cmuniv
CSN , CSNCoyote
Georgia State U. , GeorgiaStateU
Northwood University , NorthwoodU
Life University , LifeUniversity
JohnBrownUniversity , JohnBrownUniv
UW Bothell , UWBothell
Merrimack College , merrimack
North Lake College , northlakenow
Erikson Institute , EriksonInst
Sacramento State , sacstate
Elmhurst College , ElmhurstCollege
Point Park U , PointParkU
U of MN Morris , UMMorris
Daytona State , DSC_News
MercyhurstUniversity , MercyhurstU
HACC , HACC_info
Mott College , MottCollege
Menlo College , menlocollege
UAH , UAHuntsville
Newman University , NewmanU
WWCC , WWCCWarriors
MesaCommunityCollege , mesacc
Catawba College , CatawbaCollege
Univ. of Nevada Reno , unevadareno
AllanHancockCollege , HancockCollege
DSLCC , DSLCC
CarlSandburgCollege , sandburg
Augusta University , AUG_University
Meredith College , MeredithCollege
WilliamJamesCollege , WilliamJamesEdu
NVC , govista
USC Web , uscweb
Old Dominion University , ODU
Illinois College , ictrueblue
MSU Moorhead , MSUMoorhead
Mississippi Valley , MVSUDEVILS
Delta State , DeltaState
Wisconsin Lutheran , InsideWLC
Saint Augustine's , SAU_News
SUNY Delhi , SUNYDelhi
UA - Pulaski Tech , pulaskitech
CSU-Pueblo , CSUPueblo
Goucher College , gouchercollege
Univ. of Oklahoma , UofOklahoma
Fisher College , FisherCollege
Tennessee Tech , tennesseetech
Cal Maritime , Cal_Maritime
Plymouth State , PlymouthState
EKU , EKUStories
Fresno City College , fresnocity
WNMU , WNMU
Penn State York , PennStateYork
Penn , Penn
Penn State Berks , PennStateBerks
Ohio Christian U , OhioChristian
Waynesburg University , WaynesburgU
OCCRL , occrl
Colorado College , ColoradoCollege
Brewton-Parker , BrewtonParker
Peirce College , PeirceCollege
Hebrew College , hebrewcollege
Lehigh CarbonCC , LehighCarbonCC
Hamline University , HamlineU
Cabarrus College , CabarrusCollege
AFI , AmericanFilm
OSU-Oklahoma City , OSUOKC
LIM College , LIMCollege
Otterbein University , Otterbein
UT Southwestern News , UTSWNews
Moravian College , MoravianCollege
Olin College , OlinCollege
Bard College , BardCollege
New England Tech , NEInstituteTech
UIC News , UICnews
Westminster Seminary , WestminsterTS
NCC , NorthamptonComm
Kutztown University , KutztownU
Holy Cross College , HolyCrossND
Jefferson State , jeffstate
OCC , OnondagaCC
BinghamtonUniversity , binghamtonu
CNM , CNMonline
St. John's University , StJohnsU
Bridgewater State , BridgeStateU
BarnesJewishCollege , GoldfarbNursing
Rosemont College , RosemontCollege
Hawaii Pacific Univ. , HPU
Bentley University , bentleyu
Luther Seminary , LutherSeminary
Bevill State , bevillstate
UniversityofRedlands , UofRedlands
Steve Rottinghaus , Rhaus90
University of Maryland, Baltimore , UMBaltimore
Gordon College , gordoncollege
Arkansas Tech , ArkansasTech
Mizzou , Mizzou
Goodwin College , GoodwinCollege
Hillsdale College , Hillsdale
Greensboro College , GCPride
HWS Colleges , HWSColleges
Andover Newton , AndoverNewton
IVC , IVCCollege
MitchellCollege , MitchellCollege
Duke University , DukeU
Wilkes University , WilkesU
STCC , S_T_C_C
St. Vincent College , MySaintVincent
Indiana Tech , IndianaTech
Brooks Institute , BrooksInstitute
Rochester College , rcwarriors
FRCC , frcc
Transylvania U. , Transy
Paul Smith's College , paulsmiths
CCSU (Central) , CCSU
Maxwell AFB , MaxwellAFB
Cal Poly Pomona , calpolypomona
Westfield State , WestfieldState
Citrus College , CitrusCollege
Cogswell College , CogswellCollege
CCCC , cankdeskacikana
University of Southern Maine , USouthernMaine
Ferris State Univ. , FerrisState
Aurora University , AuroraU
Olympic College , OlympicCollege
ShenandoahU , ShenandoahU
Monmouth College , Monmouth
Santiago Canyon Coll , SantiagoCanyon
Santa Ana College , SantaAnaCollege
Blackburn College , bbcollege
UWF , UWF
LSU Health Sciences , LSUHealthNO
Montevallo , Montevallo
SF State , SFSU
OLLU , OLLUnivSATX
Unity College , UnityCollege
The University of Toledo , UToledo
Portland State , Portland_State
Carroll College , CarrollCollege
Saint Xavier , SaintXavier
Hazelden Betty Ford , hazldnbettyford
DallasCollegesOnline , DCCCD_Online
The University of Houston-Victoria , UHVictoria
RAND Corporation , RANDCorporation
MiraCosta College , MiraCosta
Shorter University , shorteruniv
ArtCenter College , artcenteredu
Wallace State , wallacestate
NAU , NAU
UNT News , UNTnews
NEIU , NEIU
Bellevue College , BellevueCollege
Univ. of Colorado , CUSystem
Hampshire College , hampshirecolg
WSU Pullman , WSUPullman
Oklahoma City Univ. , OKCU
Bethel College , BethelCollegeIN
Midway University , MidwayUniv
SCAD , SCADdotedu
Metropolitan College , mcnyedu
NorthCentralCollege , northcentralcol
SUNY Polytechnic Institute , SUNYPolyInst
FSCJ , FSCJ_Official
Univ Sagrado Corazón , sagradoedu
Schoolcraft College , schoolcraftnow
Mercy College , mercycollege
City College of NY , CityCollegeNY
Argosy University , ArgosyU
Palm Beach Atlantic , PBAUniversity
Boise State , boisestatelive
Gordon-Conwell , GordonConwell
Thiel College , thielcollege
UM System , umsystem
Trinity Int'l Univ. , TIU
BerkeleyCityCollege , berkeleycc
Excelsior College , ExcelsiorColl
Whatcom Comm College , WhatcomCC
Rowan University , RowanUniversity
Muhlenberg College , Muhlenberg
Northwestern OK St U , NWOSU
Centre College , CentreC
Simpson University , SimpsonU
Bank Street College , bankstreetedu
Westmont College , WestmontNews
Wake Tech CC , waketechcc
Rutgers–Camden , Rutgers_Camden
Mount Mercy , MountMercy
Murray State Univ , murraystateuniv
Roseman University , rosemanuhs
Maryville University , MaryvilleU
Cleary University , ClearyUniverse
Dartmouth , dartmouth
Saint Mary's College , stmarysca
Marian University , MarianUniv
University of Minnesota Crookston , UMNCrookston
Dominican College , DominicanOburg
UNG , UNG_News
LSU Shreveport , LSU_Shreveport
Westminster College , WestminsterSLC
BVU , BuenaVistaUniv
WestConn , WestConn
Columbus State Univ. , ColumbusState
Baker College , bakercollege
East Central College , ECC_Falcon
SW Seminary , swbts
UC Hastings Law ⚖️ , UCHastingsLaw
Union College , UnionCollegeKY
Endicott College , EndicottCollege
Washington and Lee , wlunews
Arkansas State , ArkansasState
Meharry Med College , MeharryMedical
Clarkson University , ClarksonUniv
Walsh University , WalshUniversity
Keck Graduate Inst , KeckGrad
SUNY Geneseo , SUNYGeneseo
UNC-Chapel Hill , UNC
Hult Business School , Hult_Biz
Bethel University , BethelU
Viterbo University , Viterbo_Univ
Becker College , BeckerCollege
Western University , WesternU
Canisius College , CanisiusCollege
Concordia U Chicago , CUChicago
Ivy Tech , IvyTechCC
Whittier College , WhittierCollege
UH-Clear Lake , UHClearLake
Paris Junior College , ParisJC
Nova Southeastern U. , NovaSE
Am Academy of Art , AmAcademyofArt
Concordia University , ConcordiaIrvine
NWTC , NWTC
AJU College , AJUCollege
UC Riverside , UCRiverside
Kettering University , KetteringU
The Peralta Colleges , PeraltaColleges
Prescott College , Prescottcollege
Hagerstown CC , hagerstowncc
Walsh College , walshcollege
UofHartford , UofHartford
WestCoastUniversity , westcoastu
SAIC , saic_news
OSU-Tulsa , osutulsa
John Marshall Law , JMLSChicago
MTSU , MTSUNews
UNCW , UNCWilmington
University Relations , NDSUNews
University of DC , udc_edu
Rollins College , rollinscollege
CUNY Staten Island , csinews
Sinclair360 , Sinclair360
Spertus Institute , Spertus
Mississippi College , MissCollege
SUNY Cobleskill , SUNYCobleskill
Florida Atlantic , FloridaAtlantic
University at Albany , ualbany
FORT VALLEY STATE , FVSU
Principia College , PrinCollege
IU Northwest (IUN) , iunorthwest
Capella University , CapellaU
WCCS , wccselma
UCM , UCentralMO
UMass Amherst , UMassAmherst
USC , USC
Harvey Mudd College , harveymudd
UT Knoxville , UTKnoxville
Fordham University , FordhamNYC
Howard Comm. College , HowardCC
Saint Mary's College , saintmarys
Rice University , RiceUniversity
Bakersfield College , BAKcollege
OHSU News , OHSUNews
Harper College News , HarperCollegePR
Radford University , radfordu
U. Northern Colorado , UNC_Colorado
CGU , CGUnews
UC Irvine , UCIrvine
OaktonCollege , OaktonCollege
Lone Star College , lonestarcollege
SCO , SCOnews
St. Francis College , SFCNY
K-State Polytechnic , KStatePolytech
Emmanuel College , EmmanuelCollege
USU Health Sciences , USUhealthsci
Minnesota State , MinnStateEdu
Troy University , TROYUnews
Holy Cross , holy_cross
Luther College , luthercollege
Brandeis University , BrandeisU
WilliamJewellCollege , williamjewell
WGUTexas , WGUTexas
PPCC , ppccedu
Wheeling Jesuit , WheelingJesuit
MCC , MorganCC
Westminster College , westminsterpa
Phoenix College , PhoenixCollege
Metropolitan State U , MetroStateU
Butler CC , butlercc
Albion College , albioncollege
University of Dayton , univofdayton
Macomb College , MacombCollege
UM-Flint , UMFlint
UAT , UATedu
Rutgers University , RutgersU
Waubonsee Comm. Col. , waubonsee
SWOSU , swosu
Univ of Scranton , univofscranton
Bethany GU , BeGlobalU
ECSU Viking , ECSU
Mary Baldwin U , MaryBaldwinU
Sarah Lawrence , SarahLawrence
FHSU Univ Relations , FHSUnews
Southern Nazarene , FollowSNU
Georgia Tech , GeorgiaTech
Germanna CC , germannacc
Centenary College , CentenaryLA
South Texas College , STCPR
Midland College , MidlandCollege
ACC District , accdistrict
UCF , UCF
SNHU , SNHU
Fitchburg State , Fitchburg_State
Dowling College , dowlingcollege
Pomona College , pomonacollege
